d,k,r,p,sl,bs,ed,hd,lr,dr,ep,seg_algo,rnn_var,comb_method,dataset,type,recall,precision,f-score
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,trust_rnn,pku,test,0.599,0.712,0.651
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,trust_rnn,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,trust_rnn,as,test,0.548,0.695,0.613
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,trust_rnn,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,trust_rnn,cityu,test,0.574,0.699,0.630
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,trust_rnn,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,trust_rnn,msr,test,0.586,0.691,0.634
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,trust_rnn,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,trust_rnn,pku,test,0.563,0.696,0.623
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,trust_rnn,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,trust_rnn,as,test,0.748,0.758,0.753
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,trust_rnn,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,trust_rnn,cityu,test,0.741,0.735,0.738
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,trust_rnn,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,trust_rnn,msr,test,0.795,0.759,0.776
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,trust_rnn,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,trust_rnn,pku,test,0.770,0.767,0.768
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,trust_rnn,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,trust_rnn,as,test,0.745,0.761,0.753
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,trust_rnn,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,trust_rnn,cityu,test,0.736,0.735,0.735
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,trust_rnn,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,trust_rnn,msr,test,0.780,0.761,0.770
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,trust_rnn,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,trust_rnn,pku,test,0.756,0.768,0.762
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,trust_rnn,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,trust_rnn,as,test,0.740,0.761,0.751
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,trust_rnn,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,trust_rnn,cityu,test,0.734,0.737,0.736
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,trust_rnn,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,trust_rnn,msr,test,0.777,0.762,0.769
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,trust_rnn,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,trust_rnn,pku,test,0.753,0.769,0.761
