d,k,p,dataset,type,recall,precision,f-score
300,2000,10,msr,test,0.794,0.736,0.764
300,2000,10,pku,train,0,0,0
300,2000,10,pku,test,0.774,0.746,0.760
300,1500,10,as,train,0,0,0
300,1500,10,as,test,0.749,0.739,0.744
300,1500,10,cityu,train,0,0,0
300,1500,10,cityu,test,0.743,0.712,0.727
300,1500,10,msr,train,0,0,0
300,1500,10,msr,test,0.794,0.737,0.765
300,1500,10,pku,train,0,0,0
300,1500,10,pku,test,0.772,0.746,0.759
300,1000,10,as,train,0,0,0
300,1000,10,as,test,0.741,0.731,0.736
300,1000,10,cityu,train,0,0,0
300,1000,10,cityu,test,0.736,0.706,0.720
300,1000,10,msr,train,0,0,0
300,1000,10,msr,test,0.788,0.732,0.759
300,1000,10,pku,train,0,0,0
300,1000,10,pku,test,0.769,0.743,0.756
300,500,10,as,train,0,0,0
300,500,10,as,test,0.709,0.695,0.702
300,500,10,cityu,train,0,0,0
300,500,10,cityu,test,0.704,0.676,0.690
300,500,10,msr,train,0,0,0
300,500,10,msr,test,0.757,0.701,0.728
300,500,10,pku,train,0,0,0
300,500,10,pku,test,0.751,0.727,0.739
300,100,10,as,train,0,0,0
300,100,10,as,test,0.582,0.559,0.570
300,100,10,cityu,train,0,0,0
300,100,10,cityu,test,0.613,0.578,0.595
300,100,10,msr,train,0,0,0
300,100,10,msr,test,0.595,0.537,0.564
300,100,10,pku,train,0,0,0
300,100,10,pku,test,0.633,0.602,0.617
300,50,10,as,train,0,0,0
300,50,10,as,test,0.578,0.553,0.566
300,50,10,cityu,train,0,0,0
300,50,10,cityu,test,0.568,0.537,0.552
300,50,10,msr,train,0,0,0
300,50,10,msr,test,0.574,0.518,0.545
300,50,10,pku,train,0,0,0
300,50,10,pku,test,0.564,0.531,0.547
300,10,10,as,train,0,0,0
300,10,10,as,test,0.590,0.567,0.578
300,10,10,cityu,train,0,0,0
300,10,10,cityu,test,0.565,0.536,0.550
300,10,10,msr,train,0,0,0
300,10,10,msr,test,0.578,0.521,0.548
300,10,10,pku,train,0,0,0
300,10,10,pku,test,0.569,0.538,0.553
300,5000,12,as,train,0,0,0
300,5000,12,as,test,0.755,0.737,0.746
300,5000,12,cityu,train,0,0,0
300,5000,12,cityu,test,0.744,0.704,0.723
300,5000,12,msr,train,0,0,0
300,5000,12,msr,test,0.798,0.734,0.765
300,5000,12,pku,train,0,0,0
300,5000,12,pku,test,0.777,0.746,0.761
300,2000,12,as,train,0,0,0
300,2000,12,as,test,0.754,0.741,0.748
300,2000,12,cityu,train,0,0,0
300,2000,12,cityu,test,0.744,0.709,0.726
300,2000,12,msr,train,0,0,0
300,2000,12,msr,test,0.796,0.734,0.764
300,2000,12,pku,train,0,0,0
300,2000,12,pku,test,0.775,0.745,0.760
300,1500,12,as,train,0,0,0
300,1500,12,as,test,0.753,0.740,0.747
300,1500,12,cityu,train,0,0,0
300,1500,12,cityu,test,0.745,0.712,0.728
300,1500,12,msr,train,0,0,0
300,1500,12,msr,test,0.796,0.736,0.765
300,1500,12,pku,train,0,0,0
300,1500,12,pku,test,0.774,0.746,0.760
300,1000,12,as,train,0,0,0
300,1000,12,as,test,0.747,0.734,0.741
300,1000,12,cityu,train,0,0,0
300,1000,12,cityu,test,0.740,0.708,0.724
300,1000,12,msr,train,0,0,0
300,1000,12,msr,test,0.791,0.732,0.760
300,1000,12,pku,train,0,0,0
300,1000,12,pku,test,0.770,0.743,0.757
300,500,12,as,train,0,0,0
300,500,12,as,test,0.715,0.696,0.706
300,500,12,cityu,train,0,0,0
300,500,12,cityu,test,0.711,0.678,0.694
300,500,12,msr,train,0,0,0
300,500,12,msr,test,0.761,0.700,0.729
300,500,12,pku,train,0,0,0
300,500,12,pku,test,0.753,0.726,0.739
300,100,12,as,train,0,0,0
300,100,12,as,test,0.594,0.565,0.579
300,100,12,cityu,train,0,0,0
300,100,12,cityu,test,0.618,0.578,0.597
300,100,12,msr,train,0,0,0
300,100,12,msr,test,0.603,0.539,0.569
300,100,12,pku,train,0,0,0
300,100,12,pku,test,0.638,0.602,0.619
300,50,12,as,train,0,0,0
300,50,12,as,test,0.590,0.559,0.574
300,50,12,cityu,train,0,0,0
300,50,12,cityu,test,0.577,0.540,0.558
300,50,12,msr,train,0,0,0
300,50,12,msr,test,0.584,0.520,0.550
300,50,12,pku,train,0,0,0
300,50,12,pku,test,0.571,0.533,0.551
300,10,12,as,train,0,0,0
300,10,12,as,test,0.597,0.567,0.582
300,10,12,cityu,train,0,0,0
300,10,12,cityu,test,0.570,0.534,0.552
300,10,12,msr,train,0,0,0
300,10,12,msr,test,0.579,0.514,0.545
300,10,12,pku,train,0,0,0
300,10,12,pku,test,0.573,0.535,0.553
300,5000,14,as,train,0,0,0
300,5000,14,as,test,0.758,0.737,0.747
